2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_mask has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_slit has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_text has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_noqrc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_res has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_iprobe has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : topmetal2_diffprb has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : snsring_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : sensor_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : snsarms_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : snscmosvia_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : colwind_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : flm_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : hafniumox_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : memvia_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : thinfilmres_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : rfmem_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m2m3 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m2m4 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m2m5 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m2tm1 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m2tm2 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m3m4 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m3m5 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m3tm1 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m3tm2 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m4m5 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m4tm1 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m4tm2 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m5tm1 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m5tm2 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_tm1tm2 has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m1sub has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m2sub has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m3sub has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m4sub has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_m5sub has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_tm1sub has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : norcx_tm2sub has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : snsbotvia_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : snstopvia_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : deepvia_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : fgetch_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : ctrgat_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : fgimp_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : emwihv_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : lbe_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : alcustop_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432676K) : nometfiller_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (432804K) : prboundary_drw has 0 polygons
